O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
9,"KATHIRAVAN, C.",Independent,47,1,48,0.02,Kunnam,148,148-9,Perambalur,General,22,M
10,"KALAISELVI, J.",Independent,67,1,68,0.03,Kunnam,148,148-10,Perambalur,General,21,F
11,KALAIYARASI SARAVANAN,Independent,89,1,90,0.04,Kunnam,148,148-11,Perambalur,General,19,F
12,"GOWTHAMAN, V.",Independent,331,5,336,0.15,Kunnam,148,148-12,Perambalur,General,13,M
13,"SURESHKUMAR, S.",Independent,265,4,269,0.12,Kunnam,148,148-13,Perambalur,General,14,M
14,"SELVAM, J.",Independent,174,0,174,0.08,Kunnam,148,148-14,Perambalur,General,16,M
15,"SELVARAJU, R.",Independent,977,0,977,0.44,Kunnam,148,148-15,Perambalur,General,5,M
16,"BALAMURUGAN, S.",Independent,934,0,934,0.42,Kunnam,148,148-16,Perambalur,General,6,M
17,"PRAKASH, M.R.",Independent,604,0,604,0.27,Kunnam,148,148-17,Perambalur,General,9,M
18,"PUGALENTHI, Dr.S.",Independent,366,0,366,0.17,Kunnam,148,148-18,Perambalur,General,12,M
19,"MANIKANDAN, K.",Independent,152,0,152,0.07,Kunnam,148,148-19,Perambalur,General,17,M
20,"MATHIYAZHAGAN, S.",Independent,86,1,87,0.04,Kunnam,148,148-20,Perambalur,General,20,M
21,"MUTHAMILSELVAN, D.",Independent,40,0,40,0.02,Kunnam,148,148-21,Perambalur,General,23,M
22,"VINOTHKUMAR, M.",Independent,451,0,451,0.21,Kunnam,148,148-22,Perambalur,General,11,M
23,NOTA,None of the Above,751,2,753,0.34,Kunnam,148,148-23,Perambalur,General,7,Not Applicable
1,SAVARIANANDHAM V,Bahujan Samaj Party,483,3,486,0.22,Ariyalur,149,149-1,Ariyalur,General,11,M
2,CHINNAPPA K,Dravida Munnetra Kazhagam,102964,1011,103975,46.16,Ariyalur,149,149-2,Ariyalur,General,1,M
3,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,100436,305,100741,44.73,Ariyalur,149,149-3,Ariyalur,General,2,M
4,THANGA. SHANMUGA SUNDARAM,New Generation People’s Party,1028,9,1037,0.46,Ariyalur,149,149-4,Ariyalur,General,6,M
5,SUGUNA KUMAR,Naam Tamilar Katchi,12285,61,12346,5.48,Ariyalur,149,149-5,Ariyalur,General,3,F
6,DURAI.MANIVEL,Amma Makkal Munnettra Kazagam,2040,4,2044,0.91,Ariyalur,149,149-6,Ariyalur,General,4,M
7,JAWAHAR P,Indiya Jananayaka Katchi,896,9,905,0.4,Ariyalur,149,149-7,Ariyalur,General,7,M
8,KUMAR J,Independent,73,1,74,0.03,Ariyalur,149,149-8,Ariyalur,General,14,M
9,SIVATHASAN V,Independent,159,0,159,0.07,Ariyalur,149,149-9,Ariyalur,General,12,M
10,DEVA P,Independent,127,6,133,0.06,Ariyalur,149,149-10,Ariyalur,General,13,M
11,MANIKANNAN M,Independent,539,1,540,0.24,Ariyalur,149,149-11,Ariyalur,General,10,M
12,RAMESH K,Independent,766,1,767,0.34,Ariyalur,149,149-12,Ariyalur,General,8,M
13,RAVICHANDRAN S,Independent,630,2,632,0.28,Ariyalur,149,149-13,Ariyalur,General,9,M
14,NOTA,None of the Above,1383,3,1386,0.62,Ariyalur,149,149-14,Ariyalur,General,5,Not Applicable
1,KANNAN KA SO KA,Dravida Munnetra Kazhagam,98174,1355,99529,46.0,Jayankondam,150,150-1,Ariyalur,General,1,M
2,NEELAMEGAM K,Bahujan Samaj Party,603,2,605,0.28,Jayankondam,150,150-2,Ariyalur,General,9,M
